Time,Position (x)
72.8167,1.48282
72.8333,1.5221
72.85,1.56162
72.8667,1.60131
72.8833,1.64111
72.9,1.68099
72.9167,1.72087
72.9333,1.76071
72.95,1.80044
72.9667,1.84002
72.9833,1.87939
73,1.91849
73.0167,1.95727
73.0333,1.99568
73.05,2.03366
73.0667,2.07116
73.0833,2.10812
73.1,2.14451
73.1167,2.18026
73.1333,2.21532
73.15,2.24966
73.1667,2.28321
73.1833,2.31593
73.2,2.34779
73.2167,2.37873
73.2333,2.4087
73.25,2.43768
73.2667,2.46562
73.2833,2.49247
73.3,2.51821
73.3167,2.5428
73.3333,2.5662
73.35,2.58838
73.3667,2.60931
73.3833,2.62896
73.4,2.6473
73.4167,2.66432
73.4333,2.67997
73.45,2.69425
73.4667,2.70713
73.4833,2.7186
73.5,2.72864
73.5167,2.73723
73.5333,2.74436
73.55,2.75003
73.5667,2.75422
73.5833,2.75693
73.6,2.75816
73.6167,2.75799
73.6333,2.75651
73.65,2.75371
73.6667,2.74961
73.6833,2.7442
73.7,2.7375
73.7167,2.72952
73.7333,2.72026
73.75,2.70974
73.7667,2.69797
73.7833,2.68498
73.8,2.67077
73.8167,2.65537
73.8333,2.6388
73.85,2.62108
73.8667,2.60224
73.8833,2.5823
73.9,2.56129
73.9167,2.53924
73.9333,2.51618
73.95,2.49215
73.9667,2.46717
73.9833,2.44128
74,2.41452
74.0167,2.38692
74.0333,2.35852
74.05,2.32936
74.0667,2.29949
74.0833,2.26894
74.1,2.23776
74.1167,2.20598
74.1333,2.17366
74.15,2.14083
74.1667,2.10755
74.1833,2.07386
74.2,2.03981
74.2167,2.00544
74.2333,1.9708
74.25,1.93594
74.2667,1.90091
74.2833,1.86576
74.3,1.83053
74.3167,1.79528
74.3333,1.76005
74.35,1.72489
74.3667,1.68986
74.3833,1.65499
74.4,1.62035
74.4167,1.58597
74.4333,1.5519
74.45,1.51819
74.4667,1.4849
74.4833,1.45205
74.5,1.41971
74.5167,1.38791
74.5333,1.3567
74.55,1.32613
74.5667,1.29623
74.5833,1.26704
74.6,1.23861
74.6167,1.21098
74.6333,1.18418
74.65,1.15826
74.6667,1.13324
74.6833,1.10917
74.7,1.08607
74.7167,1.06398
74.7333,1.04292
74.75,1.02294
74.7667,1.00405
74.7833,0.986284
74.8,0.969664
74.8167,0.954213
74.8333,0.939954
74.85,0.926905
74.8667,0.915086
74.8833,0.904512
74.9,0.895197
74.9167,0.887156
74.9333,0.880399
74.95,0.874935
74.9667,0.870772
74.9833,0.867916
75,0.866371
75.0167,0.866053
75.0333,0.866876
75.05,0.868839
75.0667,0.871939
75.0833,0.876172
75.1,0.881533
75.1167,0.888013
75.1333,0.895604
75.15,0.904295
75.1667,0.914074
75.1833,0.924928
75.2,0.936841
75.2167,0.949797
75.2333,0.963778
75.25,0.978764
75.2667,0.994734
75.2833,1.01167
75.3,1.02954
75.3167,1.04833
75.3333,1.068
75.35,1.08854
75.3667,1.1099
75.3833,1.13207
75.4,1.15501
75.4167,1.17869
75.4333,1.20308
75.45,1.22814
75.4667,1.25384
75.4833,1.28014
75.5,1.30701
75.5167,1.33441
75.5333,1.3623
75.55,1.39064
75.5667,1.41939
75.5833,1.44851
75.6,1.47797
75.6167,1.50772
75.6333,1.53772
75.65,1.56792
75.6667,1.5983
75.6833,1.62879
75.7,1.65937
75.7167,1.68999
75.7333,1.72061
75.75,1.75118
75.7667,1.78166
75.7833,1.81201
75.8,1.84219
75.8167,1.87216
75.8333,1.90187
75.85,1.93128
75.8667,1.96036
75.8833,1.98905
75.9,2.01733
75.9167,2.04515
75.9333,2.07247
75.95,2.09926
75.9667,2.12548
75.9833,2.15109
76,2.17606
76.0167,2.20035
76.0333,2.22393
76.05,2.24677
76.0667,2.26882
76.0833,2.29008
76.1,2.31049
76.1167,2.33004
76.1333,2.3487
76.15,2.36645
76.1667,2.38325
76.1833,2.39908
76.2,2.41393
76.2167,2.42777
76.2333,2.44058
76.25,2.45235
76.2667,2.46306
76.2833,2.47269
76.3,2.48123
76.3167,2.48867
76.3333,2.49499
76.35,2.5002
76.3667,2.50428
76.3833,2.50723
76.4,2.50904
76.4167,2.5097
76.4333,2.50932
76.45,2.50796
76.4667,2.50564
76.4833,2.50236
76.5,2.49812
76.5167,2.49292
76.5333,2.48678
76.55,2.47971
76.5667,2.4717
76.5833,2.46278
76.6,2.45296
76.6167,2.44225
76.6333,2.43066
76.65,2.41821
76.6667,2.40492
76.6833,2.39081
76.7,2.3759
76.7167,2.3602
76.7333,2.34374
76.75,2.32654
76.7667,2.30863
76.7833,2.29003
76.8,2.27076
76.8167,2.25086
76.8333,2.23035
76.85,2.20926
76.8667,2.18762
76.8833,2.16545
76.9,2.1428
76.9167,2.11968
76.9333,2.09614
76.95,2.07221
76.9667,2.04791
76.9833,2.02329
77,1.99837
77.0167,1.9732
77.0333,1.9478
77.05,1.92221
77.0667,1.89647
77.0833,1.87061
77.1,1.84467
77.1167,1.81869
77.1333,1.7927
77.15,1.76673
77.1667,1.74083
77.1833,1.71503
77.2,1.68936
77.2167,1.66386
77.2333,1.63857
77.25,1.61351
77.2667,1.58874
77.2833,1.56427
77.3,1.54015
77.3167,1.51641
77.3333,1.49307
77.35,1.47018
77.3667,1.44777
77.3833,1.42586
77.4,1.40449
77.4167,1.38368
77.4333,1.36347
77.45,1.34388
77.4667,1.32494
77.4833,1.30667
77.5,1.28911
77.5167,1.27228
77.5333,1.25619
77.55,1.24088
77.5667,1.22636
77.5833,1.21265
77.6,1.19977
77.6167,1.18775
77.6333,1.17659
77.65,1.16631
77.6667,1.15693
77.6833,1.14846
77.7,1.14091
77.7167,1.1343
77.7333,1.12862
77.75,1.12389
77.7667,1.12012
77.7833,1.11731
77.8,1.11546
77.8167,1.11458
77.8333,1.11458
77.85,1.11538
77.8667,1.11697
77.8833,1.11936
77.9,1.12254
77.9167,1.1265
77.9333,1.13124
77.95,1.13675
77.9667,1.14303
77.9833,1.15007
78,1.15785
78.0167,1.16637
78.0333,1.17561
78.05,1.18556
78.0667,1.19621
78.0833,1.20755
78.1,1.21955
78.1167,1.2322
78.1333,1.24549
78.15,1.25938
78.1667,1.27388
78.1833,1.28895
78.2,1.30457
78.2167,1.32072
78.2333,1.33739
78.25,1.35454
78.2667,1.37215
78.2833,1.39021
78.3,1.40867
78.3167,1.42753
78.3333,1.44674
78.35,1.46629
78.3667,1.48615
78.3833,1.50629
78.4,1.52668
78.4167,1.54729
78.4333,1.5681
78.45,1.58907
78.4667,1.61019
78.4833,1.63141
78.5,1.65271
78.5167,1.67405
78.5333,1.69542
78.55,1.71678
78.5667,1.73809
78.5833,1.75934
78.6,1.78049
78.6167,1.80151
78.6333,1.82237
78.65,1.84304
78.6667,1.8635
78.6833,1.88372
78.7,1.90366
78.7167,1.9233
78.7333,1.94262
78.75,1.96158
78.7667,1.98017
78.7833,1.99834
78.8,2.01609
78.8167,2.03338
78.8333,2.05019
78.85,2.0665
78.8667,2.08228
78.8833,2.09752
78.9,2.11218
78.9167,2.12626
78.9333,2.13973
78.95,2.15257
78.9667,2.16477
78.9833,2.1763
79,2.18716
79.0167,2.19732
79.0333,2.20678
79.05,2.21552
79.0667,2.22352
79.0833,2.23078
79.1,2.23729
79.1167,2.24303
79.1333,2.248
79.15,2.2522
79.1667,2.25561
79.1833,2.25823
79.2,2.26007
79.2167,2.26111
79.2333,2.26143
79.25,2.26111
79.2667,2.26018
79.2833,2.25862
79.3,2.25644
79.3167,2.25365
79.3333,2.25024
79.35,2.24622
79.3667,2.2416
79.3833,2.23639
79.4,2.23058
79.4167,2.22419
79.4333,2.21724
79.45,2.20971
79.4667,2.20164
79.4833,2.19303
79.5,2.18388
79.5167,2.17422
79.5333,2.16406
79.55,2.15341
79.5667,2.14228
79.5833,2.1307
79.6,2.11867
79.6167,2.10622
79.6333,2.09336
79.65,2.08011
79.6667,2.06648
79.6833,2.05251
79.7,2.0382
79.7167,2.02357
79.7333,2.00865
79.75,1.99346
79.7667,1.97802
79.7833,1.96235
79.8,1.94647
79.8167,1.9304
79.8333,1.91416
79.85,1.89779
79.8667,1.8813
79.8833,1.86471
79.9,1.84804
79.9167,1.83133
79.9333,1.81459
79.95,1.79785
79.9667,1.78112
79.9833,1.76444
80,1.74783
80.0167,1.73131
80.0333,1.71489
80.05,1.69862
80.0667,1.68249
80.0833,1.66655
80.1,1.65082
80.1167,1.6353
80.1333,1.62003
80.15,1.60503
80.1667,1.59032
80.1833,1.57591
80.2,1.56183
80.2167,1.5481
80.2333,1.53473
80.25,1.52175
80.2667,1.50917
80.2833,1.49702
80.3,1.4853
80.3167,1.47403
80.3333,1.46324
80.35,1.45292
80.3667,1.44311
80.3833,1.43381
80.4,1.42503
80.4167,1.41679
80.4333,1.4091
80.45,1.40197
80.4667,1.39541
80.4833,1.38943
80.5,1.38403
80.5167,1.37923
80.5333,1.37503
80.55,1.37143
80.5667,1.36845
80.5833,1.36608
80.6,1.36434
80.6167,1.36321
80.6333,1.3627
80.65,1.36274
80.6667,1.36322
80.6833,1.36416
80.7,1.36555
80.7167,1.36738
80.7333,1.36966
80.75,1.37238
80.7667,1.37554
80.7833,1.37914
80.8,1.38316
80.8167,1.3876
80.8333,1.39247
80.85,1.39774
80.8667,1.40342
80.8833,1.40949
80.9,1.41594
80.9167,1.42278
80.9333,1.42998
80.95,1.43755
80.9667,1.44546
80.9833,1.4537
81,1.46227
81.0167,1.47116
81.0333,1.48034
81.05,1.48982
81.0667,1.49957
81.0833,1.50958
81.1,1.51984
81.1167,1.53033
81.1333,1.54104
81.15,1.55196
81.1667,1.56306
81.1833,1.57434
81.2,1.58577
81.2167,1.59735
81.2333,1.60905
81.25,1.62086
81.2667,1.63277
81.2833,1.64475
81.3,1.65679
81.3167,1.66888
81.3333,1.68099
81.35,1.69311
81.3667,1.70523
81.3833,1.71732
81.4,1.72937
81.4167,1.74136
81.4333,1.75328
81.45,1.7651
81.4667,1.77682
81.4833,1.78842
81.5,1.79988
81.5167,1.81118
81.5333,1.82231
81.55,1.83325
81.5667,1.844
81.5833,1.85452
81.6,1.86482
81.6167,1.87487
81.6333,1.88466
81.65,1.89417
81.6667,1.9034
81.6833,1.91233
81.7,1.92095
81.7167,1.92925
81.7333,1.93721
81.75,1.94483
81.7667,1.95209
81.7833,1.95898
81.8,1.96549
81.8167,1.97162
81.8333,1.97736
81.85,1.9827
81.8667,1.98762
81.8833,1.99213
81.9,1.99622
81.9167,1.99988
81.9333,2.0031
81.95,2.00589
81.9667,2.00824
81.9833,2.01014
82,2.0116
82.0167,2.01261
82.0333,2.01316
82.05,2.01333
82.0667,2.01319
82.0833,2.01277
82.1,2.01207
82.1167,2.0111
82.1333,2.00984
82.15,2.00832
82.1667,2.00652
