Time,Acceleration (x)
72.6,3.43004
72.6167,3.27459
72.6333,3.1146
72.65,2.95027
72.6667,2.78187
72.6833,2.6096
72.7,2.43373
72.7167,2.25444
72.7333,2.07205
72.75,1.88677
72.7667,1.69886
72.7833,1.50863
72.8,1.31629
72.8167,1.12214
72.8333,0.926399
72.85,0.729418
72.8667,0.531392
72.8833,0.332637
72.9,0.133438
72.9167,-0.0659609
72.9333,-0.265245
72.95,-0.464172
72.9667,-0.662455
72.9833,-0.859809
73,-1.05597
73.0167,-1.25067
73.0333,-1.44363
73.05,-1.63457
73.0667,-1.82326
73.0833,-2.00941
73.1,-2.19276
73.1167,-2.37305
73.1333,-2.55006
73.15,-2.72352
73.1667,-2.89321
73.1833,-3.05887
73.2,-3.22029
73.2167,-3.37723
73.2333,-3.52948
73.25,-3.67684
73.2667,-3.81907
73.2833,-3.95601
73.3,-4.08746
73.3167,-4.21323
73.3333,-4.33314
73.35,-4.44705
73.3667,-4.55478
73.3833,-4.65619
73.4,-4.75113
73.4167,-4.83946
73.4333,-4.92108
73.45,-4.99587
73.4667,-5.06372
73.4833,-5.12455
73.5,-5.17825
73.5167,-5.22478
73.5333,-5.26404
73.55,-5.29599
73.5667,-5.3206
73.5833,-5.33782
73.6,-5.34762
73.6167,-4.73058
73.6333,-4.7264
73.65,-4.71566
73.6667,-4.69837
73.6833,-4.67456
73.7,-4.64425
73.7167,-4.6075
73.7333,-4.56435
73.75,-4.51486
73.7667,-4.45911
73.7833,-4.39716
73.8,-4.32911
73.8167,-4.25505
73.8333,-4.17509
73.85,-4.08932
73.8667,-3.99786
73.8833,-3.90088
73.9,-3.79846
73.9167,-3.69078
73.9333,-3.57799
73.95,-3.46019
73.9667,-3.33763
73.9833,-3.21042
74,-3.07875
74.0167,-2.94281
74.0333,-2.80279
74.05,-2.65887
74.0667,-2.51128
74.0833,-2.36018
74.1,-2.20581
74.1167,-2.04839
74.1333,-1.88812
74.15,-1.72524
74.1667,-1.55994
74.1833,-1.39253
74.2,-1.2231
74.2167,-1.05207
74.2333,-0.87955
74.25,-0.705786
74.2667,-0.531063
74.2833,-0.355597
74.3,-0.179629
74.3167,-0.00343323
74.3333,0.172791
74.35,0.348744
74.3667,0.524211
74.3833,0.698962
74.4,0.872741
74.4167,1.04529
74.4333,1.21641
74.45,1.38584
74.4667,1.55331
74.4833,1.71865
74.5,1.88159
74.5167,2.04192
74.5333,2.19942
74.55,2.35386
74.5667,2.50503
74.5833,2.65272
74.6,2.79672
74.6167,2.93683
74.6333,3.07288
74.65,3.20465
74.6667,3.33198
74.6833,3.45467
74.7,3.57258
74.7167,3.68551
74.7333,3.79332
74.75,3.89589
74.7667,3.99302
74.7833,4.08462
74.8,4.17055
74.8167,4.25068
74.8333,4.32491
74.85,4.39314
74.8667,4.45526
74.8833,4.51121
74.9,4.56088
74.9167,4.60424
74.9333,4.64119
74.95,4.6717
74.9667,4.69573
74.9833,4.71324
75,4.7242
75.0167,4.10912
75.0333,4.10782
75.05,4.10082
75.0667,4.08813
75.0833,4.06976
75.1,4.04574
75.1167,4.0161
75.1333,3.98089
75.15,3.94015
75.1667,3.89394
75.1833,3.84232
75.2,3.78537
75.2167,3.72316
75.2333,3.65578
75.25,3.58334
75.2667,3.5059
75.2833,3.42361
75.3,3.33655
75.3167,3.24488
75.3333,3.1487
75.35,3.04813
75.3667,2.94336
75.3833,2.83449
75.4,2.72168
75.4167,2.6051
75.4333,2.48491
75.45,2.36125
75.4667,2.23432
75.4833,2.1043
75.5,1.97135
75.5167,1.83567
75.5333,1.69744
75.55,1.55685
75.5667,1.41411
75.5833,1.26939
75.6,1.12292
75.6167,0.974901
75.6333,0.825527
75.65,0.675001
75.6667,0.523546
75.6833,0.371361
75.7,0.218654
75.7167,0.0656605
75.7333,-0.0874257
75.75,-0.240397
75.7667,-0.393026
75.7833,-0.545104
75.8,-0.696423
75.8167,-0.846777
75.8333,-0.995958
75.85,-1.14375
75.8667,-1.28995
75.8833,-1.43437
75.9,-1.57678
75.9167,-1.71701
75.9333,-1.85485
75.95,-1.99012
75.9667,-2.12262
75.9833,-2.25218
76,-2.37859
76.0167,-2.50172
76.0333,-2.62135
76.05,-2.73736
76.0667,-2.84956
76.0833,-2.95781
76.1,-3.06194
76.1167,-3.16183
76.1333,-3.25732
76.15,-3.3483
76.1667,-3.43463
76.1833,-3.51618
76.2,-3.59285
76.2167,-3.66454
76.2333,-3.73113
76.25,-3.79255
76.2667,-3.84869
76.2833,-3.8995
76.3,-3.94488
76.3167,-3.98481
76.3333,-4.01918
76.35,-4.04799
76.3667,-4.07117
76.3833,-4.08869
76.4,-4.10055
76.4167,-4.10671
76.4333,-3.48774
76.45,-3.48336
76.4667,-3.47415
76.4833,-3.46011
76.5,-3.44126
76.5167,-3.41764
76.5333,-3.38927
76.55,-3.3562
76.5667,-3.31847
76.5833,-3.27613
76.6,-3.22924
76.6167,-3.17787
76.6333,-3.12208
76.65,-3.06196
76.6667,-2.9976
76.6833,-2.92907
76.7,-2.85647
76.7167,-2.77991
76.7333,-2.69948
76.75,-2.61533
76.7667,-2.52752
76.7833,-2.43621
76.8,-2.34153
76.8167,-2.24359
76.8333,-2.14253
76.85,-2.0385
76.8667,-1.93164
76.8833,-1.82211
76.9,-1.71003
76.9167,-1.5956
76.9333,-1.47893
76.95,-1.36024
76.9667,-1.23965
76.9833,-1.11733
77,-0.993469
77.0167,-0.86822
77.0333,-0.741777
77.05,-0.614304
77.0667,-0.485973
77.0833,-0.35697
77.1,-0.22748
77.1167,-0.0976753
77.1333,0.0322652
77.15,0.162163
77.1667,0.291831
77.1833,0.421092
77.2,0.549774
77.2167,0.67769
77.2333,0.804655
77.25,0.930512
77.2667,1.05506
77.2833,1.17815
77.3,1.29961
77.3167,1.41926
77.3333,1.53693
77.35,1.65247
77.3667,1.76572
77.3833,1.87651
77.4,1.9847
77.4167,2.09014
77.4333,2.19266
77.45,2.29214
77.4667,2.38845
77.4833,2.48142
77.5,2.57096
77.5167,2.65693
77.5333,2.7392
77.55,2.81767
77.5667,2.89223
77.5833,2.96277
77.6,3.02921
77.6167,3.09143
77.6333,3.14936
77.65,3.20292
