Time,Speed,Velocity (x)
76.6,0.616312,-0.616312
76.6167,0.669277,-0.669277
76.6333,0.721311,-0.721311
76.65,0.772344,-0.772344
76.6667,0.822304,-0.822304
76.6833,0.871122,-0.871122
76.7,0.91873,-0.91873
76.7167,0.965062,-0.965062
76.7333,1.01005,-1.01005
76.75,1.05364,-1.05364
76.7667,1.09577,-1.09577
76.7833,1.13637,-1.13637
76.8,1.1754,-1.1754
76.8167,1.21279,-1.21279
76.8333,1.2485,-1.2485
76.85,1.28247,-1.28247
76.8667,1.31467,-1.31467
76.8833,1.34504,-1.34504
76.9,1.37354,-1.37354
76.9167,1.40013,-1.40013
76.9333,1.42478,-1.42478
76.95,1.44745,-1.44745
76.9667,1.46811,-1.46811
76.9833,1.48673,-1.48673
77,1.50329,-1.50329
77.0167,1.51776,-1.51776
77.0333,1.53012,-1.53012
77.05,1.54036,-1.54036
77.0667,1.54846,-1.54846
77.0833,1.55441,-1.55441
77.1,1.5582,-1.5582
77.1167,1.55983,-1.55983
77.1333,1.55929,-1.55929
77.15,1.55659,-1.55659
77.1667,1.55173,-1.55173
77.1833,1.54471,-1.54471
77.2,1.53554,-1.53554
77.2167,1.52425,-1.52425
77.2333,1.51084,-1.51084
77.25,1.49533,-1.49533
77.2667,1.47775,-1.47775
77.2833,1.45811,-1.45811
77.3,1.43645,-1.43645
77.3167,1.4128,-1.4128
77.3333,1.38718,-1.38718
77.35,1.35964,-1.35964
77.3667,1.33021,-1.33021
77.3833,1.29893,-1.29893
77.4,1.26586,-1.26586
77.4167,1.23102,-1.23102
77.4333,1.19448,-1.19448
77.45,1.15627,-1.15627
77.4667,1.11647,-1.11647
77.4833,1.07511,-1.07511
77.5,1.03226,-1.03226
77.5167,0.987978,-0.987978
77.5333,0.942325,-0.942325
77.55,0.895363,-0.895363
77.5667,0.84716,-0.84716
77.5833,0.79778,-0.79778
77.6,0.747293,-0.747293
77.6167,0.695769,-0.695769
77.6333,0.64328,-0.64328
77.65,0.589898,-0.589898
77.6667,0.535697,-0.535697
77.6833,0.480754,-0.480754
77.7,0.425143,-0.425143
77.7167,0.368942,-0.368942
77.7333,0.31223,-0.31223
77.75,0.255084,-0.255084
77.7667,0.197585,-0.197585
77.7833,0.139813,-0.139813
77.8,0.0818461,-0.0818461
77.8167,0.0237666,-0.0237666
77.8333,0.0240213,0.0240213
77.85,0.0717753,0.0717753
77.8667,0.119429,0.119429
77.8833,0.166917,0.166917
77.9,0.214173,0.214173
77.9167,0.261131,0.261131
77.9333,0.307725,0.307725
77.95,0.353893,0.353893
77.9667,0.399568,0.399568
77.9833,0.444688,0.444688
78,0.489191,0.489191
78.0167,0.533014,0.533014
78.0333,0.576096,0.576096
78.05,0.618378,0.618378
78.0667,0.659802,0.659802
